time, Quad.Est.E.Pos, Quad.Est.S.Z
3.969895,2.962878,0.300000
3.974894,2.963628,0.300000
3.979894,2.964121,0.300000
3.984894,2.964850,0.300000
3.989893,2.965329,0.300000
3.994893,2.966037,0.300000
3.999892,2.966502,0.300000
4.004892,2.967189,0.300000
4.009892,2.967640,0.300000
4.014892,2.968307,0.300000
4.019891,2.968745,0.300000
4.024891,2.969392,0.300000
4.029891,2.969816,0.300000
4.034890,2.970443,0.300000
4.039890,2.970854,0.300000
4.044889,2.971460,0.300000
4.049889,2.971856,0.300000
4.054889,2.972438,0.300000
4.059888,2.972817,0.300000
4.064888,2.973372,0.300000
4.069888,2.973732,0.300000
4.074887,2.974256,0.300000
4.079887,2.974593,0.300000
4.084887,2.975082,0.300000
4.089886,2.975394,0.300000
4.094886,2.975844,0.300000
4.099885,2.976130,0.300000
4.104885,nan,0.300000
4.109885,nan,0.300000
4.114884,nan,0.300000
4.119884,nan,0.300000
4.124884,nan,0.300000
4.129883,nan,0.300000
4.134883,nan,0.300000
4.139883,nan,0.300000
4.144882,nan,0.300000
4.149882,nan,0.300000
4.154881,nan,0.300000
4.159881,nan,0.300000
4.164881,nan,0.300000
4.169880,nan,0.300000
4.174880,nan,0.300000
4.179880,nan,0.300000
4.184879,nan,0.300000
4.189879,nan,0.300000
4.194879,nan,0.300000
4.199878,nan,0.300000
4.204878,nan,0.300000
4.209877,nan,0.300000
4.214877,nan,0.300000
4.219877,nan,0.300000
4.224876,nan,0.300000
4.229876,nan,0.300000
4.234876,nan,0.300000
4.239875,nan,0.300000
4.244875,nan,0.300000
4.249875,nan,0.300000
4.254874,nan,0.300000
4.259874,nan,0.300000
4.264874,nan,0.300000
4.269873,nan,0.300000
4.274873,nan,0.300000
4.279872,nan,0.300000
4.284872,nan,0.300000
4.289872,nan,0.300000
4.294871,nan,0.300000
4.299871,nan,0.300000
4.304871,nan,0.300000
4.309870,nan,0.300000
4.314870,nan,0.300000
4.319870,nan,0.300000
4.324869,nan,0.300000
4.329869,nan,0.300000
4.334868,nan,0.300000
4.339868,nan,0.300000
4.344868,nan,0.300000
4.349867,nan,0.300000
4.354867,nan,0.300000
4.359867,nan,0.300000
4.364866,nan,0.300000
4.369866,nan,0.300000
4.374866,nan,0.300000
4.379865,nan,0.300000
4.384865,nan,0.300000
4.389864,nan,0.300000
4.394864,nan,0.300000
4.399864,nan,0.300000
4.404863,nan,0.300000
4.409863,nan,0.300000
4.414863,nan,0.300000
4.419862,nan,0.300000
4.424862,nan,0.300000
4.429862,nan,0.300000
4.434861,nan,0.300000
4.439861,nan,0.300000
4.444860,nan,0.300000
4.449860,nan,0.300000
4.454860,nan,0.300000
4.459859,nan,0.300000
4.464859,nan,0.300000
4.469859,nan,0.300000
4.474858,nan,0.300000
4.479858,nan,0.300000
4.484858,nan,0.300000
4.489857,nan,0.300000
4.494857,nan,0.300000
4.499856,nan,0.300000
4.504856,nan,0.300000
4.509856,nan,0.300000
4.514855,nan,0.300000
4.519855,nan,0.300000
4.524855,nan,0.300000
